1;;;;;;;;
;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;
21;792;792;792;792;792;792;792;
41;11273;18418;24511;31656;35364;42509;49654;
43;1904;2704;3504;4304;5104;5904;6704;
77;26;26;26;26;26;26;26;
80;0;0;0;0;0;0;0;
81;7091;13863;21125;27369;31819;38591;45363;
83;1642;1984;2326;2668;3010;3352;3694;
100;4106;4769;5432;6095;6758;7421;8084;
316;94831;122905;141269;169343;187707;215781;243855;
612;97456;148540;182596;233680;267736;318820;369904;
618;173487;252645;305209;384367;436931;516089;595247;
624;52461;69708;80998;98245;109535;126782;144029;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;3830;3830;3830;2150;2150;2150;2150;
6424;2911;2911;2911;1711;1711;1711;1711;

4;;;;;;;;
;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;
21;2380;2380;2380;2380;2380;2380;2380;
41;2570;5926;9282;12638;15994;19350;22706;
43;5336;5940;6242;6544;7148;7450;8054;
77;43;43;43;43;43;43;43;
80;0;0;0;0;0;0;0;
81;1988;5321;8654;11987;15320;18653;21986;
83;190;216;242;268;294;320;346;
100;2436;3052;3668;4284;4900;5516;6132;
316;29136;39212;49288;59364;69440;79516;89592;
612;83804;105528;127252;148976;170700;192424;214148;
618;82180;114428;146676;178924;211172;243420;275668;
624;18576;25484;32392;39300;46208;53116;60024;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;-398;-678;-678;-678;-678;-678;-678;
6424;90;-30;-30;-30;-30;-30;-30;

5;;;;;;;;
;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;
21;0;0;0;0;0;0;0;
41;256;400;1600;1644;2444;2388;1332;
43;414;474;534;594;654;714;774;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;320;894;1270;1003;1988;1917;1149;
83;414;414;422;422;422;430;430;
100;560;700;840;980;1120;1260;1260;
316;3168;6668;10268;9544;10404;10380;6156;
612;120;6320;8440;6820;12920;19420;15340;
618;728;2864;1472;3608;8248;10384;7056;
624;208;2208;4208;4128;5088;5008;2928;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;204;204;204;204;204;204;204;
6424;242;242;242;242;242;242;242;

6;;;;;;;;
;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;
21;0;0;0;0;0;0;0;
41;160;1440;1664;1888;1792;1696;2336;
43;188;188;188;188;188;188;188;
77;24;24;24;24;24;24;24;
80;0;0;0;0;0;0;0;
81;2128;3487;4078;4589;5108;5316;5220;
83;476;476;476;476;476;476;476;
100;1540;1960;2380;2800;3220;3640;4060;
316;11880;15576;19272;22968;26664;30360;34056;
612;12527;19247;25967;32687;38687;44687;50687;
618;24993;40593;56193;71793;87393;95229;109929;
624;9780;11652;9780;11652;13316;14980;14980;
3416;0;0;0;0;0;0;0;
6412;80;80;80;80;80;80;80;
6418;318;318;318;318;318;318;318;
6424;240;240;240;240;240;240;240;

7;;;;;;;;
;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;
21;21;21;21;21;21;21;21;
41;0;6504;13008;19512;23846;30348;36850;
43;3647;4382;5117;5852;6587;7322;8057;
77;216;216;216;216;216;216;216;
80;0;0;0;0;0;0;0;
81;3519;11994;20469;28944;34262;42236;50210;
